CDNAME,CDUID,Aerospace Vehicles and Defense,Agricultural Inputs and Services,Apparel,Automotive,Biopharmaceuticals,Business Services,Coal Mining,Communications Equipment and Services,Construction Products and Services,Distribution and Electronic Commerce,Downstream Chemical Products,Downstream Metal Products,Education and Knowledge Creation,Electric Power Generation and Transmission,Environmental Services,Financial Services,Fishing and Fishing Products,Food Processing and Manufacturing,Footwear,Forestry,Furniture,Hospitality and Tourism,Information Technology and Analytical Instruments,Insurance Services,Jewelry and Precious Metals,Leather and Related Products,Lighting and Electrical Equipment,Livestock Processing,Local Commercial Services,Local Community and Civic Organizations,Local Education and Training,Local Entertainment and Media,Local Financial Services,Local Food and Beverage Processing and Distribution,Local Health Services,Local Hospitality Establishments,Local Household Goods and Services,Local Industrial Products and Services,Local Logistical Services,Local Motor Vehicle Products and Services,Local Personal Services (Non-Medical),"Local Real Estate, Construction, and Development",Local Retailing of Clothing and General Merchandise,Local Utilities,"Marketing, Design, and Publishing",Medical Devices,Metal Mining,Metalworking Technology,Music and Sound Recording,Nonmetal Mining,Oil and Gas Production and Transportation,Paper and Packaging,Performing Arts,Plastics,Printing Services,Production Technology and Heavy Machinery,Recreational and Small Electric Goods,Textile Manufacturing,Tobacco,"Trailers, Motor Homes, and Appliances",Transportation and Logistics,Upstream Chemical Products,Upstream Metal Manufacturing,Video Production and Distribution,Vulcanized and Fired Materials,Water Transportation,Wood Products
Les Etchemins,2428,0,0,2.290281459,0,0,0.166508777,0,0,0.1673586,0.154840937,0,2.146060342,0.020040418,0.091918542,0,0.015516558,0,0,2.818628812,16.61866274,2.058664306,1.265128924,0,0.419177363,0,1.257242308,0,0,0.438383802,1.29573282,0.006724655,0.881412349,1.516309537,1.606449127,1.691428363,0.720445522,0.86135194,0.763946494,3.17807695,1.319174018,0.765788327,0.835995606,1.246598632,0.158691992,0.093170251,0,0,0.120990726,0,0.857934491,0,0,0,0.004786644,0.094177084,7.639613522,0.120535145,0,0,11.48273534,1.680955429,0,0,0,0,0,15.54330606
Beauce-Sartigan,2429,0,0.126213878,1.289789527,0.498017287,0,0.334428482,0,0,0.82430367,0.328594015,0.223137292,5.459172577,0.55257829,0,0.369923566,0.278949507,0,0.282486545,0,2.628863736,3.877762224,0.416971548,0.2058287,0.017942326,10.35757748,0,0,0,0.349380751,0.573421792,2.941512679,0.858330501,0.805285392,1.270509941,1.03896366,0.696301962,0.690170699,2.052907453,0.7413326,1.380267213,0.778714432,1.178663075,0.83436678,0.205224076,0.187274229,0.17876831,0,2.936900809,0,0.367227367,0.040908926,0.432618077,0.172821963,3.343481496,0.94059558,1.912835013,1.458707876,14.61293199,0,42.85733647,1.106939163,0,0.259881111,0.004389942,1.544399043,0.096642098,9.981341088
Le Granit,2430,0,0.96119798,28.6188444,0,0,0.08640165,0,0,2.782760709,0.079580637,0,1.091790733,0.032197372,2.746636677,0.014201126,0.084300625,0,1.998445512,153.1345854,3.385811238,6.771029854,0.714831241,0,0,0,0,0,0,0.413137212,0.369879738,1.498235104,0.32571582,1.029753507,1.010542959,0.828293746,0.531064455,1.198293203,1.880510978,0.935908395,0.988935076,0.905452443,0.843216655,0.980114777,0.474190777,0.111894735,0,0,1.445632091,0,0,0,0,0.141015839,0.340267901,0.255829511,1.554778404,0.98229143,0,0,0.153771613,0.531895205,0,0.094245616,0.000557203,1.660614934,0,38.35462583
Les Appalaches,2431,0,0.34435857,0,2.000651813,0,0.182936513,0,0,0.623315961,0.289914452,2.098189517,4.071795983,0.886920296,0,4.701313869,0.161074789,0,0.662455652,0,0.937584515,1.872951081,0.554873102,0.472474099,0.032635574,0,6.851891305,0,0.418068341,1.614597155,1.347928251,0.915786891,0.547653636,1.169610683,1.605326217,1.281350747,0.733789152,0.721984055,4.997014545,1.073343888,1.528646426,1.048640945,0.937367315,0.94688278,0.823677479,0.386873899,0.06503289,0,3.359463749,0.833744509,0.267182222,1.005913171,0,0.157174274,8.791484381,0.464377341,4.096421768,2.130893396,0,0,0.279123594,0.647173547,0.49999776,0,0.112758541,0.451780234,0,1.589982286
L'Érable,2432,0,2.935348347,8.474906781,1.94366235,8.136591366,0.199065561,0,0,0.235599478,1.802397381,0.064315929,2.667951543,0.026141194,0,0.315403763,0.180988774,0,4.974752485,0,1.598413626,4.143376166,1.027884696,0.053164194,0.016859942,0,17.6988593,0.059149966,9.913448942,0.593540032,0.507913244,0.163675124,0.193521157,1.024941282,0.483074996,0.988237314,0.698952323,1.721943426,3.343816935,1.347849025,1.809769649,0.869978354,0.755693616,0.199744974,1.595707428,0.037474471,0.218931645,0,3.526338892,0,1.035222322,0,0.039340652,0.208795308,0.619333765,0.227276604,9.790989077,5.249612018,7.845839391,0,7.489670436,1.77570555,0,0.697724551,0,0.778547499,10.3525786,5.338432447
Lotbinière,2433,0,0.739999734,4.768463644,0.038952523,0,0.418474315,0,0,1.306679029,0.316634978,0,4.303315828,0.013944722,0,0.01943654,0.144223821,0,5.298002422,0,1.208877637,12.59423309,0.540921467,2.17327838,0.171432082,0,0,0,1.64705986,0.308058895,0.898168302,0.025644114,0.080173381,0.88478022,1.177557579,0.559528856,1.032392939,0.855309733,3.52199276,1.228117282,1.612054896,0.706349696,1.201685174,0.256231217,0.029500312,0.065026339,0.013491512,0,1.773206998,0,0.063794864,0,0,0.546841862,16.15012033,0.525216169,1.273220628,4.716743131,0,0,6.769333139,2.245764178,0,1.134574238,0,6.542380144,0,10.54825129
Portneuf,2434,0,0.816825239,1.268883652,0.785026717,0,0.108223937,0,0,2.173797003,0.390960374,1.307782875,1.701582202,0.185049732,0.097001124,0.557460947,0.139183567,0,0.521647079,0,1.572663608,0.601225328,0.887830523,0.016556724,0.829416623,0,8.292254942,0.426778554,0,0.402103607,1.019740729,1.832668797,0.700604898,1.855732984,1.23538227,0.760418413,1.115589872,0.804138691,1.542115677,1.005264101,2.393038296,1.040264687,1.754293217,0.470595589,0.451403956,0.103067599,0.004786771,0,2.05697559,0,5.477509558,0,1.290229496,0.273908895,0.078197061,0.720537992,1.071383429,0.127200066,0.38987096,0,1.460121205,1.286566926,3.049725675,11.44140656,0.002705774,0.213614256,0,4.608716978
Mékinac,2435,0,1.176242015,1.218142464,0,0,0.150402008,0,0.161463564,0,0.478448892,0,0.072639061,0.063953931,0,3.996413514,0.115540078,0,2.034191437,449.7470956,5.76459397,0.825450285,1.749513744,0.310771028,0.044589956,0,1.337390422,0.239346029,0,0.37387459,2.044140401,0,0.440049348,3.696396375,1.645571501,1.296592304,0.554561587,0.134308245,0.786139578,1.842766153,1.425026353,0.715005961,1.48659779,0.560614207,0,0.066073183,13.32815699,0,0,0,7.301016607,0,0,9.203445854,1.805204884,0,5.790026036,0.8975341,0,0,0.14050338,0.628787654,0,0,0,0,1.441039587,2.318240627
Shawinigan,2436,1.635879172,0,1.092992315,2.290651259,0,0.226035326,0,0,0.248447054,0.174700352,1.816934465,3.70140395,0.691659187,0,0,0.52187449,0,0.573203806,0,1.99094353,1.483380964,1.920526058,1.49341401,0.019051833,0,0,3.341990487,0.549130181,0.303551998,0.965724776,3.255449412,1.179493897,1.765999974,1.185838814,1.360576959,1.24478961,0.402531231,2.229100078,0.574756095,1.533787771,1.055599945,0.84615992,0.907458374,0.180315879,0.143012153,0.288626389,0,0.466170372,0,0.194967887,0,0,0.747143106,0.135011322,1.669355361,0.915559612,1.136779754,0.671654903,0,0.094336802,0.142725864,0.10376547,2.053536797,0.004661404,0.032200572,0.06157092,2.053836862
Francheville,2437,0.006536145,0.884618354,0.516235041,0.139447677,0.012857654,0.388682434,0,0.020526397,1.081177615,0.545805613,0.111797079,1.333823551,1.591368182,0,0.828324278,0.536502517,0.03570381,0.598563153,0,0.149255061,0.886533657,0.837072322,0.051992033,1.731763756,0,0,1.130990849,0.511944133,0.852472034,1.07760157,1.56677105,1.744467871,0.809819467,0.971929812,1.470294608,1.080571792,1.080509717,2.352626296,0.849578646,1.317478677,1.199374589,1.047588675,1.124072786,0.036590513,0.288299132,0.286688879,0,0.874028052,0,0.338082962,0.002956255,5.563957636,1.149304201,0.09048212,0.317247767,1.847464677,0.776613342,0.254285877,0,0.073157156,1.209287318,0.13856114,0.262132337,0.02787636,0.191815691,1.386245131,1.319910212
Bécancour,2438,0,3.433688564,0,0,0,0.251530834,0,0,0.80251607,0.748226344,0.443348981,6.927000937,0.025402862,1.070379612,3.457920219,0.361376656,0,1.748338536,0,0.651083983,0.665002603,0.722582464,0,0.139464759,0,0.697163105,0,8.486216582,0.296100959,0.651527329,0.113464812,0.224204996,1.354655197,1.052360244,0.705712931,0.678547381,0.45569893,1.643414338,1.00278286,1.207834388,0.706620128,1.146652262,0.404640584,0.85283747,0.103329105,0,0,0.516206785,0,0,0,0,0.047976289,0.220098363,0.522228592,0.790920131,1.67097177,2.458351051,0,3.591393748,2.632469435,66.45102256,57.71549411,0.400603803,0.011224629,0.751193979,0.82395459
Arthabaska,2439,0,2.768349125,2.445025775,0.021940076,0,0.506142817,0,0,1.482865113,0.637081138,10.41256259,2.629965671,0.494415104,2.212754226,0.882770674,0.276412176,0,1.324028454,0.33926413,0.695758119,3.77602301,0.604540428,0.690622967,0.348134425,0,3.783197843,0.725738507,0.009694941,0.621742472,0.606661165,1.776933013,0.964324273,0.405578954,0.884653167,1.021881379,1.031881499,0.903149066,1.346325016,1.376583697,1.216100259,1.096571077,1.246892203,0.790490396,0.230431421,0.473370006,0.14632007,0,0.215997964,3.866881482,0.020653049,0,10.00696302,2.61387623,2.297618806,0.748150948,3.525188316,5.994171233,0.117606814,0,2.793374472,0.168977335,0.046379486,0.26203397,0.058345932,0.269531123,0,4.121255591
Les Sources,2440,0,2.200200764,7.71267654,0,0,0.241182065,0,0,1.273519443,0.267023246,0,0,0.337742655,0,0.743009173,0.551330747,0,0.348531842,40.06034596,0.513469972,0.100261875,0.809140813,0.253537411,0.059576451,0,0,0,0,0.564396175,1.68552041,0.260773095,0.607207637,2.005427571,1.933498985,1.41355743,0.864438618,1.877665198,3.678126377,1.088641869,1.889437539,3.231318676,0.917572145,0.432135154,0,0,0,0,2.957866673,0,0.243871434,0,0.139014506,0.737801101,0.006803117,0.133851131,0.902347967,0.171313073,1.388702563,0,27.18224717,3.833049875,0,0,1.026777794,0.719239299,0,5.350039833
Le Haut-Saint-François,2441,0,2.324713504,16.05016768,0.238086621,5.316260392,0.166538232,0,0,1.856996592,0.551866637,0,0.059817978,0.010064466,0,9.066189494,0.733989565,0,0.98201545,0,8.62393509,6.166737967,0.066494659,0.056573646,0.036719652,0,0,0.12882406,3.880686158,0.376937305,0.94267124,0.045164032,0.141674144,1.383621696,1.512888922,0.802457105,0.922872678,1.35000202,1.563069557,2.082112922,1.827440627,1.114534241,1.405453529,0.168684767,1.504031033,0.598521038,0,0,0,0,0,0,12.85213564,0.151580022,2.663524415,0,0.672328557,6.55637039,20.71228196,0,0.925631801,1.407779991,0,0,0,0,0,8.686578729
Le Val-Saint-François,2442,0,1.217072726,11.70397112,14.28613412,0.397608167,0.193543143,0,0,2.872758431,0.206614194,0,1.832353638,0.100388256,0.036133011,2.085015465,0.018298592,0,0.640753085,0,1.171637392,0.115990943,0.36304351,0.064080711,0.049433357,0,0.494219662,1.156184866,1.139852445,0.540298687,0.595680756,0.019862349,0.249525815,0.695401604,0.891106455,0.667469546,0.495254404,0.899499775,8.892675012,0.704900641,1.037129809,1.119987168,0.936077497,0.187249396,0.097556572,0.024416704,0.035661539,0,5.243266068,0,0.134900994,0.018283755,21.53140503,0.374114859,5.235306728,0.407229241,3.914458629,46.15435622,1.161818439,0,4.951467784,3.935637812,0.757350484,0,0,1.729319443,0,1.943449045
Sherbrooke,2443,0.543743963,0.163706423,0.021427255,1.414558966,0.106963223,0.462324497,0,0.990406454,0.192932334,0.656706007,0.524206273,1.848422057,3.538279884,0.004860191,0.277576089,0.589074282,0,0.613440819,0,0.081185299,1.638040668,0.315738111,0.778053132,2.650813804,3.915154707,2.060776546,0.132189024,0,0.767407191,1.340625904,1.28273728,1.333977381,0.761660957,0.8196016,1.245406144,1.030248488,0.930306023,1.738005479,0.667769861,1.143596908,1.168698989,0.7994781,1.11678474,0.518143318,0.570595736,1.790649012,0,1.234585598,0.169867786,0.508068621,0,1.810095872,0.58556004,1.038298985,0.662288327,2.898810836,6.406274425,3.613539031,0,0.71830755,0.248083994,0.072429482,0.90773877,0.462995198,8.534525887,0,0.164464509
Coaticook,2444,0,2.790167969,36.21058343,0.114954083,0,0.220755746,0,0,0.229884198,0.724231733,0,0.360110265,0.099550028,0,4.890379398,0.063940751,0,2.960441181,0,1.53526922,13.37403258,0.260667645,0.00316201,0,0,0,0.454506245,1.53510886,0.203328516,0.492090585,1.616634901,0.537968506,0.954619703,0.923319775,0.508935049,0.665746111,1.256940292,2.225696524,0.98713978,0.963952913,0.980429141,0.906710028,0.234923466,0.408711981,0.271955147,0.046729528,0,2.679996001,0,1.767691489,0,0,0.089131987,11.128489,0.291064231,0.235291535,1.055492057,11.12258643,0,1.571194629,1.094220881,2.452528215,0.223387115,0,58.91690058,0.069779691,10.07620935
Memphrémagog,2445,0,0.59470525,2.339118015,0.75702645,0.08102282,0.428967502,0.025263568,0,1.514722457,0.532375103,1.441006422,0.439634584,0.092978896,0,2.974510691,0.34180718,0,0.593014799,0,0.235133606,0.615818577,3.139056927,0.083139446,0,0,1.510648201,0,0.241952137,0.618646335,0.571741741,3.64915363,0.708690705,0.813965091,1.291994688,0.685025727,1.398535189,1.05123063,1.413912656,0.688019376,1.001415567,1.008168649,0.831414766,0.631211676,0.829557329,0.486750826,2.509134712,0.006748343,1.082806362,3.216798877,1.999955555,0,0.097936914,0.693049624,3.587893361,0.075439418,2.904121577,2.28469636,2.959377295,0,0.351419259,0.307033666,8.989438353,0.232169146,0.08701024,8.162622771,0.054257501,1.670413606
Brome-Missisquoi,2446,9.206626517,1.225089252,2.087265077,2.033858807,0,0.204846671,0,0,0.543302691,0.715219944,17.14470931,1.183479905,0.171111596,0,1.377171728,0.429779472,0.020076392,1.037195778,0,0.694009284,3.846691074,2.568216843,8.9131489,0.007490596,0,4.493322146,1.340247489,3.094583002,0.367768346,0.833951809,0.024641585,0.620905127,1.113949889,1.305832844,0.951194197,1.163852133,1.09175888,2.345225866,0.705610725,1.185975313,1.407528373,1.07788582,0.782391016,0.351911893,0.2065111,0.003242258,0,0.88428316,0,1.747742925,0,0.087392042,0.649350388,4.892125052,2.32243141,0.788803432,0.961736307,10.56296405,0,0.632742997,0.917652338,0.344282104,0.557977694,0.210221633,0.628901677,0,2.610146804
La Haute-Yamaska,2447,2.21153831,0.898346986,4.005644618,1.429364465,0.265861029,0.284791129,0,0.424429602,0.800579465,0.676304617,0.095523019,2.424896725,0.452843351,0.010981985,1.998939063,0.995514104,0.402685579,3.579225921,0,0.043163433,1.358795555,1.1729358,0.58382267,0.641040586,0,2.403348249,3.004485406,0.481163685,0.610884369,0.800278266,1.747098218,0.878957293,0.842903608,1.424677916,0.810975845,1.174344828,0.780930376,2.202428735,0.747198432,1.348836121,1.117474838,0.929403315,0.946904157,0.246016754,0.431395895,0.182211523,0,2.098567933,0.383829667,0.410007551,0.005557022,2.337173981,0.423811593,6.237178684,2.250365019,3.024028734,2.555568551,7.47231241,0,0.189056527,0.392837143,0.081830065,0.503311996,0.103698416,8.851034122,0,0.778852197
Acton,2448,0,2.174944351,0,0.040644237,16.57920497,0.259638737,0.689270618,0,0.03048,0.978389596,0,0.373094787,0.010011875,0,0,0.016955616,0,1.979731909,0,0.493476451,1.197185811,0.290316859,0.12769664,0.045805328,0,0,0,1.408261357,0.261008747,0.899938626,0.147595704,0.986657146,1.495846068,2.408833909,0.407554877,0.526160072,0.768866444,5.617703089,2.01404597,1.150980009,0.74979659,1.009492897,0.542669973,0,0.033937058,0,0.184116284,1.340622219,0,0.377530703,0,0,1.985403176,0.062766883,0.514556914,1.877732554,2.88472131,96.88948887,0,3.230062294,1.574445333,0,0,0,86.63976667,0,1.216127026
Drummond,2449,0,1.371893653,1.148288377,3.531238987,0.016732313,0.310968091,0,0,0.799406379,0.890520237,0.621627016,1.885688138,0.581191842,0.007602822,0.823493047,0.309303019,0,1.473516171,0,0.074705052,1.269487047,0.680173743,0.46928708,0.537404428,0.240176353,3.327673332,7.918610151,4.543611582,0.607026001,0.652123149,1.451174976,0.854812614,0.679347057,0.757558548,0.863039174,0.871689865,0.956978334,3.022356557,1.892555714,1.435376864,0.99126158,0.992218058,0.962354637,0.137878721,0.137498758,0.116489821,0,1.849980633,1.328625333,0.638658002,0.03847123,9.789046755,0.472309735,2.152626852,4.268718499,4.026092058,5.697897773,4.923035625,0,1.470072699,1.563011454,0.192613091,1.769816038,0.005089801,0.45852386,0,2.935030013
Nicolet-Yamaska,2450,0,7.38583685,0.206728037,5.539559966,0.912987408,0.057283972,0,0,0.464329965,1.242361035,0,0.067481713,0.11189519,0,0.156292259,0.084034413,1.521138887,1.897271078,0,0.652196947,5.458365704,0.496746214,0,1.135088176,0,0,0.663707585,0.036351776,0.653486085,1.888160705,3.251203649,0.192815057,0.779380885,0.79984041,0.689121546,0.568601292,0.525680308,0.909639974,1.165348457,1.375337139,0.629913896,0.891067804,0.384221221,0.39391111,0.466537823,5.767818393,0,3.581997713,0,0.774398764,0.020991568,0,0.312378946,0.216028806,1.220485277,14.34762834,5.43994143,0,0,0.85158899,1.250508341,0,0.195724997,0.065209397,0.009135601,0,2.493669271
Maskinongé,2451,0.036255601,0.857651841,8.695838727,0.120034087,0,0.124533469,0,0,0.245848561,0.411321887,2.81878001,0.340962617,0.209854847,0,3.648840997,0.169585207,0.396093726,1.285917186,0,3.120579158,15.40588663,2.484396202,0.110632168,0.147784436,0,0,0.051847418,8.519168998,0.328786046,0.53037726,0.079651897,0.378699603,1.046900384,1.326288635,0.836416445,0.70711282,1.087845503,1.637149481,1.471081102,1.229412528,1.007941565,1.224208425,0.242974851,0.437478166,0.134273592,0.088346989,0,0.102192504,0,0.423460631,0,0.172418631,0.152514846,9.998378064,8.798770455,1.067807987,2.87683684,3.366282155,14.23452269,4.460783756,0.514485067,0,0,0.050940187,0.310195194,0,16.21470646
D'Autray,2452,0,10.48043814,0.420688972,1.085766254,0,0.385423449,0.463451029,0,0.275491725,0.431779628,0,7.910780185,0.041021092,0,2.982780489,0.034201796,0,1.312713799,0,0.597245687,3.64982569,0.274213646,0.047468109,0.015399268,0,0,0,16.60008185,0.591221282,0.770493688,0.014467648,0.221803178,0.866514149,0.992228869,0.749142177,1.207636371,0.698508903,1.538638254,1.774928042,1.615411239,1.128456989,2.086166998,0.297861099,0.82362579,0.231438804,0.18411668,0.123795907,1.797993191,0,3.027413268,0,3.77289637,0.699255977,5.684909244,1.131859805,0.497701053,1.540579937,3.257322457,0,10.39421328,1.499717107,0,0.637276678,0.159240369,1.300340828,0,1.094743134
Pierre-De Saurel,2453,0,1.069783624,0,3.986738759,0,0.243719127,0,0.41111198,0.287959841,0.524688949,0.04071132,2.64616129,0.676196047,2.457238474,0.033274555,0.383196923,0,0.535661942,0,0.160964896,0.143682503,0.357530129,0.003125761,0.1387382,0,0,0,1.025344931,0.608700297,0.69053435,1.723968542,0.762075862,2.016035138,0.969244427,0.545756162,1.080265643,1.071794469,3.855107534,0.92949991,1.338228824,1.283213437,1.418354178,0.962465672,0.404026541,0.18976763,0.556588039,0,1.104683166,0,1.310570115,0,0,0.17622037,1.021134732,0.311704787,1.420009867,0.828575986,0,0,0.129708416,0.324503047,0.490513266,34.89054337,0.036786167,0.154608273,2.62123021,0.592678748
Les Maskoutains,2454,0.048139943,11.40854868,1.004528471,0.449006835,1.231087595,0.359929027,0,0,0.82792551,1.189687915,0,1.289383609,0.663190758,0.008605864,1.172608365,0.316696474,0,5.48242653,0,0.067648719,5.088236945,0.249924354,0.192451136,10.84351401,0.815588547,0.235418355,1.941362801,17.05049544,0.630734855,0.986951981,1.709913228,0.495898509,1.086421389,0.939860465,0.303780173,0.824333556,0.920527142,0.609272913,0.958682045,1.408368781,0.818472771,0.86257205,0.656627349,0.322283524,0.232002997,0.119005252,0,2.481901735,0,0.963888308,0,0.329668271,1.271751419,2.366442995,4.073601587,1.346482276,1.621704795,0.336287735,0,0.599793417,0.84223853,1.082277087,0.527837764,0.001920433,0.139230087,2.600051136,0.805016109
Rouville,2455,0,2.201810798,0,0.188813989,0,0.117519399,0,0,0.057175299,1.26527561,0.234122916,5.95231296,0.019031841,0,0.203766596,0.218097281,0,13.60268854,0,0,1.075435828,0.229688945,0,0.012274716,0,0,0,6.840009703,1.779593239,0.533771225,0.020703478,0.211110405,1.720573347,0.836649077,0.267288877,0.853409687,0.709746291,0.887014962,0.913477788,1.958410571,1.033323673,1.12065839,0.222585267,0.255582621,0.127800391,0,0,12.96933698,0.940750421,0,0,4.582652348,0.278687534,0.177793278,0.468821777,1.264663159,0.38825763,0,0,8.053514791,5.425369936,0,7.255468316,0.042310024,1.030570714,0,1.420483642
Le Haut-Richelieu,2456,2.398753154,2.702104775,0.614791206,0.544503569,0,0.346008098,0,1.564922456,0.455306765,0.59042524,1.332120779,1.727306471,0.644651496,0,0.138800823,0.149372114,0.051996951,0.822180366,0,0.008360246,1.183155456,0.462564897,0.497122327,0.085361354,1.343907324,1.745625339,11.00772645,1.081070199,0.578901919,0.685068722,3.288312706,0.753437364,1.128690124,0.99074751,0.482284038,1.069004527,1.05868881,1.579673216,1.210894587,1.403764712,1.535990723,1.171644085,1.114496647,0.403950823,0.521599693,0.412795684,0,0.736470021,0,3.017717044,0.004305317,0.045268292,0.736783445,5.736993158,0.782078662,0.875046592,5.507246325,6.839400451,0,7.76632198,1.520048195,1.961685364,0.280998887,0.053497124,0.648856777,0.150473051,1.727531938
La Vallée-du-Richelieu,2457,0,0.57966738,0.235092028,2.111661368,1.816943228,0.7194472,0,0.414375723,1.759518302,0.61835392,0.451379717,1.529540332,0.204616641,0,2.734221917,0.477821509,0,1.521386296,0.361657057,0.12747646,1.242249144,0.840859823,1.26463883,0.129082724,0,6.613965133,1.000071797,4.144274678,0.725990492,0.749556098,0.09462231,1.459152229,0.983593865,1.492398977,0.732704065,1.387065375,1.521208461,1.740546077,1.476830107,1.766104902,2.082826726,1.685042201,0.456444216,0.580531568,0.455954527,1.157503817,0,0.684540717,0.41221127,0.880649661,0.03454802,0,1.165626995,0.561194062,0.193341141,0.762184603,2.732039603,0.417146857,0,5.628398893,0.808217486,0.522672363,0.977531033,0.280718427,1.80065324,0.01738184,0.807264105
Longueuil,2458,8.864067614,0.206209001,0.377093811,0.319476335,4.619174108,0.837717199,0.131309009,0.969922636,0.870637716,0.872151035,1.223634011,1.178510971,0.724073057,0.627863707,1.37223794,0.572336457,0.002436233,1.222112238,0.061120879,0.029377931,1.03382565,0.43619794,1.335824789,0.259056434,0.031483299,0.708833176,1.962799445,0.377268508,0.759522267,0.739106234,1.903020104,1.137000245,0.790960797,1.204381544,1.16759014,1.06131509,1.351239153,0.988839324,0.795041621,1.501249059,1.399836747,0.901056084,1.317755567,0.217536299,0.749525451,1.295364682,0.035074942,0.560819517,0.766311229,1.732884418,0.035355829,0.180282652,0.971835369,0.603508885,1.50101239,1.335500216,1.371652659,0.128633336,0,0.365611445,0.393348949,0.440987598,0.649265202,1.158804217,0.139563605,0.044063567,0.155500388
Marguerite-D'Youville,2459,0,0.701889611,0.86512483,0.330080533,5.28743116,0.847122055,0,0,0.823315297,1.710663476,1.190853684,2.29197727,0.16496312,0,1.163292947,0.162224279,0,1.001671269,0,0.202344744,1.056103307,0.333032278,0.065680013,0.046954963,0.542114415,0,8.236637214,0.075187828,0.701347274,0.578116002,0.181983615,0.310438535,0.837466423,1.153870146,0.565940827,1.203096609,1.900773017,0.567596039,0.876017092,1.771710607,1.934169763,1.549125536,0.208135734,1.160085649,0.423214459,2.342565563,0,0.859615314,0,1.281375881,0.009637424,0,0.613800541,4.119434365,2.047111786,0.837947588,2.079494312,0.207864479,0,3.275660444,0.510397985,30.99987819,14.30598976,0.188825275,2.210985711,0.531114814,0.326858737
L'Assomption,2460,0,0.327321728,0.707586438,0.06809695,0,0.423428087,0.07217694,0.184770285,0.654300911,0.396226602,0.658703062,4.092476214,0.726151559,0,0.024299641,0.41014201,0,0.311727689,0,0.051674363,1.837314314,0.138973789,0.090408869,0.071947542,0.166132809,2.877238493,0.016827637,0.50691445,0.974210501,0.567935173,3.430091634,1.149506815,0.795236287,1.190152672,1.040992721,1.137563064,1.00255848,0.84154231,1.389230198,1.355026589,1.710074231,1.329626244,1.354538197,0.108951482,0.324885078,0.827551858,0.019279728,0.357206969,0.36761031,1.021238119,0.083978931,0.011192064,0.574203867,0.559683895,0.560370752,1.498446196,0.215854655,0.067638522,0,0.342554057,0.338190705,0.223330156,0.218346042,0.033066371,0.261760683,0.108507963,0.991799416
Joliette,2461,0,1.826744663,0.586456568,0.094404254,0,0.342108142,0,1.573215325,1.453375463,0.698446829,2.622486997,1.553014113,0.055882608,0,3.530167632,0.188968026,0,0.752524192,0,0.043997822,1.315422473,0.414971071,0.105842102,0.401588716,0,1.020752986,0,0,0.875867293,1.619015356,0.288988908,1.6743113,1.371296635,1.091032049,1.804652405,1.038762558,1.350521468,2.645435016,1.516469783,1.61734624,1.110818012,1.118113385,1.421893093,0.033033348,0.504036075,0.975849525,0,0.339711714,0,0.417933371,0,0.476470738,0.744592706,0.086991864,0.84108443,0.959056975,7.593266417,0.011066677,0,0.165453111,1.937666324,0.633843663,0,0.031788626,14.4329845,0,0.628651816
Matawinie,2462,0,1.808875423,0.055097404,0.241039309,0,0.105868793,0,1.631536595,0.322092269,0.223485839,0,0.98565409,0.051174635,0.110564424,0.669881379,0.044793905,0,0.717813301,0,3.628582494,0.998476014,3.375270702,0.060234738,0.262188385,0,3.629464155,0,0,0.300233535,0.829478967,6.579031688,0.122232297,0.511704248,1.8172207,0.892759047,0.872686123,0.743720806,0.430028142,0.802270642,0.752793887,0.986342984,0.977434309,0.238940566,0.406824663,0.154145614,0.146757523,0,0.125165337,0.772864007,0.206393686,0,0.117650992,0.124883416,0.895393296,0.181249786,2.641132743,0.571340654,0,0,6.756689421,0.306624021,0,0.417318885,0.104278119,0,0,1.9560919
Montcalm,2463,2.010475225,3.804736933,0.268654802,0,0,0.058506173,0,0.029674937,1.74502343,0.501805081,1.938235265,0.185817027,0.052070905,0,0.230196574,0.048536659,0,0.93145316,0,1.659818514,1.28681659,0.291857791,0.02645854,0.196681523,0,4.915905007,0.043988738,25.25829119,1.180347734,0.772841531,0.372119444,0.196537226,1.325762533,1.449470633,0.699179626,0.907382909,1.154050682,1.650478507,1.971620019,1.799324061,1.489011114,2.085407631,0.190216097,0.496397396,0.388588983,4.934561322,0,0.744461742,0,1.341833451,0,0.38244396,0.30446561,1.475121731,0.110471687,4.343288096,0.565560979,0,0,1.369235507,0.585038329,0,0.169570485,0.056495538,0.688047908,0,2.156414913
Les Moulins,2464,0.008807403,0.018940486,0.40287268,0.330114358,0.10395351,0.487373732,0,0.995729549,0.687862132,0.698009704,0.150645664,2.678128024,0.981877553,0,1.486089953,0.233890032,0.009622119,0.97228488,0,0.092824613,2.65191508,0.173363799,0.280772156,0.29438476,2.486922055,5.922230751,0.667537658,1.82807759,0.848619498,0.426025213,0.178052368,0.946879625,0.813458798,1.369034492,0.989661039,1.430326461,1.835253323,1.143538319,0.886089833,1.667565768,1.6472504,1.792757145,1.254275762,0.45796985,0.302583935,0.747085117,0,1.022851797,0,1.116866756,0,0.0837697,1.47457873,4.417592921,0.788151165,1.544087975,3.204551552,0.16355103,0,1.088597054,0.458792651,0,0.318177612,0.085666879,1.1927252,0,1.663152185
